,WT1
1048,224.9194776
1049,231.6970708
1050,233.0050274
1051,182.412538
1052,209.3151684
1053,220.2425419
1054,212.0158186
1055,190.5144885
1056,167.0396063
1057,132.3805837
1058,99.5538803
1059,73.17574198
1060,55.5493528
1061,37.47449949
1062,23.31522029
1063,11.87299197
1064,8.890318941
1065,11.03703514
1066,100.1326887
1067,222.0261191
1068,229.0811576
1069,219.2516657
1070,203.809997
1071,201.4209603
1072,210.8732358
1073,219.7669213
1074,224.3249519
1075,174.2067163
1076,218.4589648
1077,231.5781656
1078,226.6237846
1079,215.6448764
1080,183.3473784
1081,142.0066567
1082,104.5150949
1083,71.35416985
1084,46.22718952
1085,24.11885506
1086,6.728158739
1087,0
1088,0
1089,7.392250801
1090,173.0641335
1091,246.046765
1092,248.588875
1093,248.588875
1094,247.7770399
1095,246.5059849
1096,244.496898
1097,236.0965611
1098,226.0292589
1099,129.4038549
1100,151.5628034
1101,192.2802982
1102,215.8034166
1103,216.3186722
1104,189.6835192
1105,144.187951
1106,112.6184121
1107,83.84336733
1108,65.72872649
1109,56.40656321
1110,58.33528665
1111,81.1973862
1112,148.2389263
1113,245.1283253
1114,250
1115,250
1116,246.1779707
1117,216.6753876
1118,144.187951
1119,114.9336456
1120,112.3703514
1121,125.5175702
1122,139.2021353
1123,85.57979245
1124,125.682944
1125,190.3067461
1126,218.65714
1127,218.8949503
1128,204.3293528
1129,175.8686549
1130,125.0214487
1131,77.78324797
1132,55.60292845
1133,36.05857157
1134,23.23868365
1135,18.34033841
1136,25.49651466
1137,114.3548373
1138,217.864439
1139,189.9951327
1140,127.9154906
1141,79.6263349
1142,63.4249735
1143,66.31805865
1144,78.05112623
1145,105.0112164
1146,130.313411
1147,77.24749146
1148,105.9207724
1149,143.4608529
1150,159.5608827
1151,135.1092518
1152,87.23353066
1153,54.31711282
1154,33.49459399
1155,21.70795076
1156,10.95981513
1157,4.643218544
1158,0
1159,0
1160,0.751330181
1161,0
1162,9.986843043
1163,14.93445774
1164,16.57999559
1165,10.28027907
1166,6.511942718
1167,5.183758594
1168,5.616190635
1169,8.226226879
1170,16.31211734
1171,15.35540928
1172,42.8519235
1173,87.97771285
1174,109.4763095
1175,84.00874115
1176,57.26377363
1177,39.27311063
1178,28.44317546
1179,16.73306888
1180,9.044758955
1181,8.921206943
1182,10.94437113
1183,11.91126029
