,DT
874,148.6618333
875,137.2506667
876,142.2368333
877,132.3938833
878,131.5331167
879,108.6052833
880,114.07625
881,129.5392667
882,111.5062667
883,114.38175
884,122.4033333
885,125.72
886,132.5458333
887,101.5705833
888,97.39483333
889,62.845
890,58.93083333
891,59.29105
892,81.86285
893,76.68526667
894,77.65971667
895,94.76565
896,102.6879333
897,113.27395
898,108.9384167
899,129.0479667
900,142.3975
901,121.1526667
902,121.9407833
903,129.8825
904,133.3746667
905,127.9967833
906,125.1706667
907,118.3956667
908,142.2501667
909,132.6115
910,108.2894833
911,105.9672833
912,111.5615
913,106.4013333
914,94.55753333
915,89.031
916,87.91466667
917,86.938
918,105.6511667
919,105.4081667
920,98.769
921,107.8795
922,134.713
923,122.5142333
924,147.0905
925,133.0553333
926,138.2487167
927,126.4658333
928,127.7111667
929,141.4086667
930,120.131
931,116.3046667
932,111.0143833
933,130.0738333
934,128.1886667
935,110.7183
936,100.3186333
937,87.30498333
938,85.76336667
939,74.81291667
940,83.79605
941,79.92193333
942,84.25051667
943,90.46513333
944,102.64145
945,111.9492667
946,129.388
947,109.6807667
948,137.2526833
949,126.3568833
950,105.33375
951,129.51795
952,140.5081667
953,134.2128333
954,139.0241667
955,133.73
956,134.545
957,128.0316667
958,127.2593333
959,118.5649167
960,95.27178333
961,78.79166667
962,78.74916667
963,76.0575
964,73.78583333
965,72.05333333
966,75.95333333
967,86.08183333
968,83.84666667
969,88.69433333
970,93.61983333
971,95.687
972,89.89306667
973,108.7160167
974,99.22118333
975,103.5821833
976,101.4634667
977,80.65801667
978,85.39151667
979,109.46075
980,123.1178333
981,120.9548333
982,115.0098333
983,100.8593
984,89.27208333
985,78.79166667
986,78.74916667
987,76.0575
988,73.78583333
989,72.05333333
990,75.95333333
991,86.08183333
992,83.84666667
993,88.69433333
994,93.61983333
995,95.687
996,89.89306667
997,108.7160167
998,99.22118333
999,103.5821833
1000,101.4634667
1001,80.65801667
1002,85.39151667
1003,109.46075
1004,123.1178333
1005,120.9548333
1006,115.0098333
1007,100.8593
1008,89.27208333
1009,88.66333333
1010,84.78416667
1011,81.99583333
1012,80.04416667
1013,80.47333333
1014,82.29083333
1015,100.7201667
1016,112.5333333
1017,124.155
1018,136.638
1019,130.3861667
1020,140.9966667
1021,153.7541667
1022,142.1408333
1023,132.8861667
1024,119.6058333
1025,134.155
1026,119.5883333
1027,124.5541667
1028,136.925
1029,134.8583333
1030,119.9833333
1031,121.0833333
1032,100.9141667
1033,90.91771667
1034,79.00073333
1035,74.81296667
1036,80.19588333
1037,78.08751667
1038,74.08841667
1039,90.5136
1040,103.9928333
1041,105.86715
1042,129.3006667
1043,142.4961667
1044,141.9965
1045,147.4229833
1046,127.0848833
1047,132.9939167
1048,124.522
1049,114.8767167
1050,113.784
1051,106.5381333
1052,119.297
1053,114.4995
1054,111.4691667
1055,100.62
1056,87.4558
1057,77.849
1058,72.37933333
1059,71.11033333
1060,69.92433333
1061,74.99616667
1062,73.27716667
1063,86.86033333
1064,102.9885
1065,124.2941
1066,129.9093333
1067,136.4486667
1068,136.6062833
1069,138.1368667
1070,142.4875667
1071,128.44675
1072,132.2628333
1073,120.6899
1074,146.7706667
1075,163.5373333
1076,169.6911667
1077,150.4208333
1078,148.8641667
1079,122.2066667
1080,109.7605
1081,93.1045
1082,84.17631667
1083,76.41051667
1084,81.23673333
1085,76.53823333
1086,79.08396667
1087,80.01655
